week0,week1,when_date,sales_period,sales_year,quarter_number
0,1,2018-12-30,1,2019,1
1,2,2019-1-6,1,2019,1
2,3,2019-1-13,1,2019,1
3,4,2019-1-20,1,2019,1
4,5,2019-1-27,2,2019,1
5,6,2019-2-3,2,2019,1
6,7,2019-2-10,2,2019,1
7,8,2019-2-17,2,2019,1
8,9,2019-2-24,3,2019,1
9,10,2019-3-3,3,2019,1
10,11,2019-3-10,3,2019,1
11,12,2019-3-17,3,2019,1
12,13,2019-3-24,4,2019,1
13,14,2019-3-31,4,2019,2
14,15,2019-4-7,4,2019,2
15,16,2019-4-14,4,2019,2
16,17,2019-4-21,5,2019,2
17,18,2019-4-28,5,2019,2
18,19,2019-5-5,5,2019,2
19,20,2019-5-12,5,2019,2
20,21,2019-5-19,6,2019,2
21,22,2019-5-26,6,2019,2
22,23,2019-6-2,6,2019,2
23,24,2019-6-9,6,2019,2
24,25,2019-6-16,7,2019,2
25,26,2019-6-23,7,2019,2
26,27,2019-6-30,7,2019,3
27,28,2019-7-7,7,2019,3
28,29,2019-7-14,8,2019,3
29,30,2019-7-21,8,2019,3
30,31,2019-7-28,8,2019,3
31,32,2019-8-4,8,2019,3
32,33,2019-8-11,9,2019,3
33,34,2019-8-18,9,2019,3
34,35,2019-8-25,9,2019,3
35,36,2019-9-1,9,2019,3
36,37,2019-9-8,10,2019,3
37,38,2019-9-15,10,2019,3
38,39,2019-9-22,10,2019,3
39,40,2019-9-29,10,2019,4
40,41,2019-10-6,11,2019,4
41,42,2019-10-13,11,2019,4
42,43,2019-10-20,11,2019,4
43,44,2019-10-27,11,2019,4
44,45,2019-11-3,12,2019,4
45,46,2019-11-10,12,2019,4
46,47,2019-11-17,12,2019,4
47,48,2019-11-24,12,2019,4
48,49,2019-12-1,13,2019,4
49,50,2019-12-8,13,2019,4
50,51,2019-12-15,13,2019,4
51,52,2019-12-22,13,2019,4
0,1,2019-12-29,1,2020,1
1,2,2020-1-5,1,2020,1
2,3,2020-1-12,1,2020,1
3,4,2020-1-19,1,2020,1
4,5,2020-1-26,2,2020,1
5,6,2020-2-2,2,2020,1
6,7,2020-2-9,2,2020,1
7,8,2020-2-16,2,2020,1
8,9,2020-2-23,3,2020,1
9,10,2020-3-1,3,2020,1
10,11,2020-3-8,3,2020,1
11,12,2020-3-15,3,2020,1
12,13,2020-3-22,4,2020,1
13,14,2020-3-29,4,2020,2
14,15,2020-4-5,4,2020,2
15,16,2020-4-12,4,2020,2
16,17,2020-4-19,5,2020,2
17,18,2020-4-26,5,2020,2
18,19,2020-5-3,5,2020,2
19,20,2020-5-10,5,2020,2
20,21,2020-5-17,6,2020,2
21,22,2020-5-24,6,2020,2
22,23,2020-5-31,6,2020,2
23,24,2020-6-7,6,2020,2
24,25,2020-6-14,7,2020,2
25,26,2020-6-21,7,2020,2
26,27,2020-6-28,7,2020,3
27,28,2020-7-5,7,2020,3
28,29,2020-7-12,8,2020,3
29,30,2020-7-19,8,2020,3
30,31,2020-7-26,8,2020,3
31,32,2020-8-2,8,2020,3
32,33,2020-8-9,9,2020,3
33,34,2020-8-16,9,2020,3
34,35,2020-8-23,9,2020,3
35,36,2020-8-30,9,2020,3
36,37,2020-9-6,10,2020,3
37,38,2020-9-13,10,2020,3
38,39,2020-9-20,10,2020,3
39,40,2020-9-27,10,2020,4
40,41,2020-10-4,11,2020,4
41,42,2020-10-11,11,2020,4
42,43,2020-10-18,11,2020,4
43,44,2020-10-25,11,2020,4
44,45,2020-11-1,12,2020,4
45,46,2020-11-8,12,2020,4
46,47,2020-11-15,12,2020,4
47,48,2020-11-22,12,2020,4
48,49,2020-11-29,13,2020,4
49,50,2020-12-6,13,2020,4
50,51,2020-12-13,13,2020,4
51,52,2020-12-20,13,2020,4
